rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre
88,Stay the Night,James Blunt,[],2010,b432ac2c-2368-42e3-a91d-841791bb644f,ebee61b4-bbdd-4087-9bcb-d5aa099088ec,216000,[]
89,Undisclosed Desires,Muse,[],2010,0029d6b6-07d1-48df-af6b-a12e361cd611,9c9f1380-2516-4fc9-a3e6-f9f61941d090,236000,[]
90,Art of Love,Guy Sebastian,['Jordin Sparks'],2010,3c635f02-60d4-4189-8b61-7c507318d786,f116b984-45ae-49d0-9445-efc5a61458a1,239000,[]
91,Who's That Chick?,David Guetta,['Rihanna'],2010,,302bd7b9-d012-4360-897a-93b00c855680,124000,[]
92,Lying,Amy Meredith,[],2010,542bdfe7-00da-45f6-a0e6-28fa29085c47,b8d8dedb-ae13-4593-b1c4-d828fc66eaba,0,[]
93,F**kin' Perfect,Pink,[],2010,,,0,[]
94,One Time,Justin Bieber,[],2010,0345a257-7ca9-3507-989d-4fec79b0dd51,e0140a67-e4d1-4f13-8a01-364355bee46e,214000,"['pop', 'rnb']"
95,Party in the U.S.A.,Miley Cyrus,[],2010,,7e9bd05a-117f-4cce-87bc-e011527a8b18,203000,"['pop', 'dance']"
96,Hotel Room Service,Pitbull,[],2010,,d262ea27-3ffe-40f7-b922-85c42d625e67,228000,"['dance', 'rap']"
97,Take Your Shirt Off,T-Pain,[],2010,1e1568bc-8bbf-49e6-b251-4b8b79b45907,,228000,[]
98,Meet Me Halfway,Black Eyed Peas,[],2010,ecfbb75e-1a7c-4626-96a5-40d71fde624c,d5be5333-4171-427e-8e12-732087c6b78e,228000,"['pop', 'dance', 'rap']"
99,Shut it Down,Pitbull,['Akon'],2010,36e75047-b12a-4955-aa32-5014cc79f6db,d262ea27-3ffe-40f7-b922-85c42d625e67,226000,[]
100,This Ain't a Love Song,Scouting for Girls,[],2010,0066dd0d-14cd-4f89-b8ba-30a0414846b6,854b0687-f9fc-4109-b59f-dbe84ebc5de6,189000,[]
